Domain,Full Name,Title,LinkedIn Profile
http://www.xonaspace.com,Kazuma Gunning,Co-Founder,http://www.linkedin.com/in/kgunning
https://io.net/,,,
https://www.cayosoft.com,Andrei Polevoi,Co-founder and CTO,http://www.linkedin.com/in/andreipolevoi
https://www.cayosoft.com,Robert Bobel,Founder/CEO,http://www.linkedin.com/in/robertbobel
https://www.novata.com/,Alex Friedman,"Co-Founder, Chief Executive Officer",http://www.linkedin.com/in/alexanderfriedman1
https://www.novata.com/,Josh Green,Co-Founder & COO,http://www.linkedin.com/in/josh-green-b597441
https://www.novata.com/,Joel Raha,Chief Technology Officer,http://www.linkedin.com/in/jmraha
https://www.novata.com/,Denise Granville,Engineering Manager,http://www.linkedin.com/in/dubedenise
https://www.cruxdata.com/,Kevin Schenk,Founder,http://www.linkedin.com/in/kevinschenkcrux
https://www.cruxdata.com/,William Freiberg,CEO,https://www.linkedin.com/in/william-freiberg-02034850/
https://www.cruxdata.com/,Maryanne Johnson,Head of People,http://www.linkedin.com/in/maryanne-johnson-sphr-26814b63
https://www.cruxdata.com/,Alexander Kornhauser,Director of Engineering,http://www.linkedin.com/in/alexander-kornhauser-0a8210123
https://www.cruxdata.com/,Sachin Chawla,CTO,http://www.linkedin.com/in/chawlasachin
https://island.io,,,
https://sayari.com,Corina Chen,Talent Acquisition Specialist,http://www.linkedin.com/in/corinachen
https://sayari.com,Layne Partington,Director of Talent Acquisition,http://www.linkedin.com/in/layne-partington
https://sayari.com,Benjamin Power,COO & Co-Founder,http://www.linkedin.com/in/benjamin-power-6b751960
https://sayari.com,Farley Mesko,CEO & Co-Founder,http://www.linkedin.com/in/farley-mesko-a1426515
https://sayari.com,Aylia Naqvi,Vice President of People Operations,http://www.linkedin.com/in/syedaanaqvi
https://sayari.com,Matt Chinnock,Director of Engineering,http://www.linkedin.com/in/matthew-chinnock
https://certifid.com,Natasha Kovacs,"Director of People, Talent & Culture",http://www.linkedin.com/in/natasha-kovacs-43634ab6
